,region,adm,port_prim,math_prim,prim_grade,year
0,Norte,Total,219.89,221.91000000000003,5.063280000000001,2021
1,Norte,Pública,219.075,220.595,5.030524,2021
2,Norte,Privada,258.35,259.25,6.4062775,2021
3,Norte,Estadual,226.635,227.625,5.299415,2021
4,Rondônia,Total,226.185,228.9,5.302916,2021
5,Rondônia,Pública,222.65,225.35,5.176864,2021
6,Rondônia,Privada,261.26,264.57,6.547330499999999,2021
7,Rondônia,Estadual,226.755,229.26,5.3262895,2021
8,Acre,Total,230.435,231.61,5.4297455,2021
9,Acre,Pública,227.64,228.645,5.3272105,2021
10,Acre,Privada,270.24,274.355,6.8874005,2021
11,Acre,Estadual,233.29,233.68,5.5237555,2021
12,Amazonas,Total,225.64499999999998,227.995,5.2829745,2021
13,Amazonas,Pública,222.605,225.01,5.1757055,2021
14,Amazonas,Privada,261.87,263.89,6.5594145,2021
15,Amazonas,Estadual,230.85,232.89,5.471328,2021
16,Roraima,Total,227.365,229.72,5.3412275000000005,2021
17,Roraima,Pública,223.245,225.935,5.201226,2021
18,Roraima,Privada,266.775,266.65999999999997,6.676479499999999,2021
20,Pará,Total,220.095,220.175,5.038784,2021
21,Pará,Pública,215.29500000000002,215.41,4.870003499999999,2021
22,Pará,Privada,254.135,253.915,6.2347675,2021
23,Pará,Estadual,220.775,218.89,5.0386855,2021
24,Amapá,Total,220.51,218.55,5.0197955,2021
25,Amapá,Pública,216.01,214.08499999999998,4.860765000000001,2021
26,Amapá,Privada,258.71,256.91499999999996,6.3718945,2021
27,Amapá,Estadual,219.045,216.01999999999998,4.953289,2021
28,Tocantins,Total,222.195,227.23,5.2025135,2021
29,Tocantins,Pública,218.15,223.205,5.0581835,2021
30,Tocantins,Privada,266.21500000000003,271.755,6.7681045,2021
31,Tocantins,Estadual,223.08499999999998,228.10500000000002,5.244848,2021
32,Nordeste,Total,224.785,227.28,5.249143,2021
33,Nordeste,Pública,219.395,221.375,5.051330500000001,2021
34,Nordeste,Privada,256.78999999999996,259.65500000000003,6.3871044999999995,2021
35,Nordeste,Estadual,219.105,220.88,5.034974,2021
36,Maranhão,Total,215.085,216.18,4.8862705,2021
37,Maranhão,Pública,208.995,210.155,4.670194,2021
38,Maranhão,Privada,252.385,254.05,6.2112565,2021
39,Maranhão,Estadual,216.075,213.99,4.842935499999999,2021
40,Piauí,Total,229.93,232.4,5.431426500000001,2021
41,Piauí,Pública,222.51,224.5,5.160164,2021
42,Piauí,Privada,267.28,272.375,6.7969729999999995,2021
43,Piauí,Estadual,235.53,235.055,5.5944725,2021
44,Ceará,Total,244.12,245.51,5.9206520000000005,2021
45,Ceará,Pública,238.58499999999998,239.20499999999998,5.7098785,2021
46,Ceará,Privada,266.21000000000004,270.43,6.750056,2021
47,Ceará,Estadual,254.49,254.06,6.2838715,2021
48,R. G. do Norte,Total,223.57999999999998,225.64499999999998,5.195689,2021
49,R. G. do Norte,Pública,213.2,214.875,4.8199345000000005,2021
50,R. G. do Norte,Privada,258.82,262.38,6.469087,2021
51,R. G. do Norte,Estadual,216.105,217.72,4.9248585,2021
52,Paraíba,Total,224.225,226.96,5.238816,2021
53,Paraíba,Pública,215.815,218.17000000000002,4.931995000000001,2021
54,Paraíba,Privada,256.745,261.18,6.4181795,2021
55,Paraíba,Estadual,216.81,217.7,4.9400765,2021
56,Pernambuco,Total,226.91,230.345,5.340313500000001,2021
57,Pernambuco,Pública,219.495,223.36,5.0845095,2021
58,Pernambuco,Privada,250.45,253.17,6.1529065,2021
59,Pernambuco,Estadual,234.435,237.255,5.613918,2021
60,Alagoas,Total,225.25,231.225,5.336418500000001,2021
61,Alagoas,Pública,217.47500000000002,224.0,5.069126,2021
62,Alagoas,Privada,255.385,259.49,6.369334,2021
63,Alagoas,Estadual,215.535,219.20499999999998,4.945240999999999,2021
64,Sergipe,Total,220.585,223.495,5.108251,2021
65,Sergipe,Pública,208.8,213.13,4.7155275,2021
66,Sergipe,Privada,253.065,252.35999999999999,6.1897865,2021
67,Sergipe,Estadual,214.445,218.21499999999997,4.911858499999999,2021
68,Bahia,Total,224.485,225.325,5.214510499999999,2021
69,Bahia,Pública,216.735,217.25,4.9322420000000005,2021
70,Bahia,Privada,256.465,258.74,6.366897,2021
71,Bahia,Estadual,231.95,228.74,5.4275245000000005,2021
72,Sudeste,Total,240.85000000000002,245.005,5.853318,2021
73,Sudeste,Pública,234.735,237.78,5.61697,2021
74,Sudeste,Privada,267.65999999999997,276.6,6.887513,2021
75,Sudeste,Estadual,236.895,240.27499999999998,5.7039575,2021
76,Minas Gerais,Total,239.945,243.05,5.8015805,2021
77,Minas Gerais,Pública,234.38,236.49,5.5870255,2021
78,Minas Gerais,Privada,278.95,289.275,7.2997175,2021
79,Minas Gerais,Estadual,235.48000000000002,236.735,5.6142185,2021
80,Espírito Santo,Total,236.015,241.78,5.7146495,2021
81,Espírito Santo,Pública,230.785,235.53,5.5117910000000006,2021
82,Espírito Santo,Privada,270.61,283.15999999999997,7.051199,2021
83,Espírito Santo,Estadual,234.01999999999998,240.11,5.6560559999999995,2021
84,Rio de Janeiro,Total,232.935,235.875,5.5510325,2021
85,Rio de Janeiro,Pública,224.4,226.185,5.224998,2021
86,Rio de Janeiro,Privada,253.95,259.775,6.353851000000001,2021
87,Rio de Janeiro,Estadual,225.63,225.515,5.2513655,2021
88,São Paulo,Total,244.7,249.57,6.0037525,2021
89,São Paulo,Pública,238.34,241.995,5.756861499999999,2021
90,São Paulo,Privada,271.22,281.24,7.033483,2021
91,São Paulo,Estadual,238.65,243.10500000000002,5.784094,2021
92,Sul,Total,243.10000000000002,247.93,5.9451789999999995,2021
93,Sul,Pública,238.435,242.575,5.768940000000001,2021
94,Sul,Privada,273.985,282.93,7.104493,2021
95,Sul,Estadual,237.21500000000003,240.08,5.701098,2021
96,Paraná,Total,242.7,249.49,5.9681685,2021
97,Paraná,Pública,238.15,244.45999999999998,5.800266000000001,2021
98,Paraná,Privada,270.13,279.865,6.979732500000001,2021
99,Paraná,Estadual,252.68,259.56,6.3531585,2021
100,Santa Catarina,Total,247.45,253.01,6.1146035,2021
101,Santa Catarina,Pública,242.57,246.98000000000002,5.92134,2021
102,Santa Catarina,Privada,278.52,291.45,7.3390355,2021
103,Santa Catarina,Estadual,239.77999999999997,243.04,5.8016735,2021
104,R. G. do Sul,Total,241.275,243.26000000000002,5.827443499999999,2021
105,R. G. do Sul,Pública,235.75,237.215,5.6225535,2021
106,R. G. do Sul,Privada,275.15,280.375,7.07991,2021
107,R. G. do Sul,Estadual,235.84500000000003,236.68,5.6166955000000005,2021
108,Centro-Oeste,Total,236.63,239.605,5.680617,2021
109,Centro-Oeste,Pública,231.13,233.19,5.470295999999999,2021
110,Centro-Oeste,Privada,268.73,276.175,6.894890500000001,2021
111,Centro-Oeste,Estadual,232.685,235.365,5.540381,2021
112,M. G. do Sul,Total,231.54000000000002,234.64999999999998,5.498137,2021
113,M. G. do Sul,Pública,226.75,228.995,5.312982,2021
114,M. G. do Sul,Privada,268.17,278.17,6.9126935,2021
115,M. G. do Sul,Estadual,224.86,227.39999999999998,5.2529725,2021
116,Mato Grosso,Total,229.375,232.665,5.4330775,2021
117,Mato Grosso,Pública,224.265,226.875,5.2392505,2021
118,Mato Grosso,Privada,265.195,273.45,6.7881219999999995,2021
119,Mato Grosso,Estadual,224.115,226.495,5.230327,2021
120,Goiás,Total,238.925,241.07,5.745778,2021
121,Goiás,Pública,234.32999999999998,235.8,5.5710075,2021
122,Goiás,Privada,263.375,269.21500000000003,6.6726015,2021
123,Goiás,Estadual,236.965,242.065,5.735888,2021
124,Distrito Federal,Total,248.52,252.71499999999997,6.1338735,2021
125,Distrito Federal,Pública,237.54000000000002,240.28500000000003,5.7193125,2021
126,Distrito Federal,Privada,278.89,287.175,7.277623,2021
127,Distrito Federal,Estadual,237.175,239.78500000000003,5.704896,2021
